"","Species","Region","Time","Value","Metric","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km"
"1","Acadian redfish","Gulf of Maine / Georges Bank",1968,3178,"Recruitment",39.92800051,-71.05679067,763.9461006
"2","Acadian redfish","Gulf of Maine / Georges Bank",1969,1602,"Recruitment",39.94982629,-70.92603177,772.8194373
"3","Acadian redfish","Gulf of Maine / Georges Bank",1970,1409,"Recruitment",40.25623864,-70.90236215,800.1552845
"4","Acadian redfish","Gulf of Maine / Georges Bank",1971,1827,"Recruitment",40.07617506,-70.88852819,785.8148847
"5","Acadian redfish","Gulf of Maine / Georges Bank",1972,111985,"Recruitment",40.34296418,-70.56902424,826.2890412
"6","Acadian redfish","Gulf of Maine / Georges Bank",1973,3650,"Recruitment",40.26809178,-71.21432278,782.5003425
"7","Acadian redfish","Gulf of Maine / Georges Bank",1974,2013,"Recruitment",40.49509939,-70.78238938,827.0903472
"8","Acadian redfish","Gulf of Maine / Georges Bank",1975,1138,"Recruitment",40.69806276,-70.41362559,864.6046574
"9","Acadian redfish","Gulf of Maine / Georges Bank",1976,861,"Recruitment",40.28174457,-70.9489,799.119539
"10","Acadian redfish","Gulf of Maine / Georges Bank",1977,845,"Recruitment",40.23010216,-71.01285646,791.5034065
"11","Acadian redfish","Gulf of Maine / Georges Bank",1978,1139,"Recruitment",40.07543263,-71.14567166,770.4756954
"12","Acadian redfish","Gulf of Maine / Georges Bank",1979,25528,"Recruitment",40.34686385,-70.85080389,810.6023333
"13","Acadian redfish","Gulf of Maine / Georges Bank",1980,1065,"Recruitment",40.16974606,-71.06165489,783.8278744
"14","Acadian redfish","Gulf of Maine / Georges Bank",1981,1596,"Recruitment",40.24430367,-70.92722994,797.2650564
"15","Acadian redfish","Gulf of Maine / Georges Bank",1982,9254,"Recruitment",40.22615099,-70.98198855,792.6093421
"16","Acadian redfish","Gulf of Maine / Georges Bank",1983,12056,"Recruitment",40.35608863,-70.90573945,808.0424258
"17","Acadian redfish","Gulf of Maine / Georges Bank",1984,3699,"Recruitment",40.22562795,-71.16860054,781.9913976
"18","Acadian redfish","Gulf of Maine / Georges Bank",1985,5437,"Recruitment",40.36599576,-70.75694284,817.1288996
"19","Acadian redfish","Gulf of Maine / Georges Bank",1986,17332,"Recruitment",40.33593084,-70.80416542,812.2781223
"20","Acadian redfish","Gulf of Maine / Georges Bank",1987,15407,"Recruitment",40.37428663,-70.78087501,817.1158713
"21","Acadian redfish","Gulf of Maine / Georges Bank",1988,10926,"Recruitment",40.45073261,-70.86739158,817.6219601
"22","Acadian redfish","Gulf of Maine / Georges Bank",1989,12073,"Recruitment",40.29854875,-71.01460882,796.5941413
"23","Acadian redfish","Gulf of Maine / Georges Bank",1990,12789,"Recruitment",40.30155783,-70.97489654,798.7623034
"24","Acadian redfish","Gulf of Maine / Georges Bank",1991,15716,"Recruitment",40.41864141,-70.77690834,820.0910545
"25","Acadian redfish","Gulf of Maine / Georges Bank",1992,64711,"Recruitment",40.47955686,-70.72420001,828.446039
"26","Acadian redfish","Gulf of Maine / Georges Bank",1993,83197,"Recruitment",40.36139547,-70.74041936,817.3058002
"27","Acadian redfish","Gulf of Maine / Georges Bank",1994,38445,"Recruitment",40.51182101,-70.50702448,843.6565816
"28","Acadian redfish","Gulf of Maine / Georges Bank",1995,42597,"Recruitment",40.67657842,-70.49086837,858.3141769
"29","Acadian redfish","Gulf of Maine / Georges Bank",1996,31691,"Recruitment",40.40761369,-70.61213514,828.8794512
"30","Acadian redfish","Gulf of Maine / Georges Bank",1997,28035,"Recruitment",40.46034533,-70.73484896,826.4137543
"31","Acadian redfish","Gulf of Maine / Georges Bank",1998,34879,"Recruitment",40.58397623,-70.71977025,838.0346349
"32","Acadian redfish","Gulf of Maine / Georges Bank",1999,48525,"Recruitment",40.48861163,-70.68643348,831.5220071
"33","Acadian redfish","Gulf of Maine / Georges Bank",2000,92116,"Recruitment",40.67540363,-70.46292463,859.7844628
"34","Acadian redfish","Gulf of Maine / Georges Bank",2001,43536,"Recruitment",40.53551709,-70.56903206,842.540767
"35","Acadian redfish","Gulf of Maine / Georges Bank",2002,79573,"Recruitment",40.71166794,-70.50113143,860.6596093
"36","Acadian redfish","Gulf of Maine / Georges Bank",2003,30841,"Recruitment",40.59326909,-70.49614997,851.666238
"37","Acadian redfish","Gulf of Maine / Georges Bank",2004,44763,"Recruitment",40.43264261,-70.74083783,823.4554738
"38","Acadian redfish","Gulf of Maine / Georges Bank",2005,92857,"Recruitment",40.46426535,-70.5168912,839.2541229
"39","Acadian redfish","Gulf of Maine / Georges Bank",2006,73429,"Recruitment",40.65232782,-70.50544152,855.8629659
"40","Acadian redfish","Gulf of Maine / Georges Bank",2007,48705,"Recruitment",40.522895,-70.4982223,844.7495694
"41","Acadian redfish","Gulf of Maine / Georges Bank",2008,325333,"Recruitment",40.64940364,-70.47681277,856.632906
"42","Acadian redfish","Gulf of Maine / Georges Bank",2009,184196,"Recruitment",40.59044988,-70.54315837,848.6868181
"43","Acadian redfish","Gulf of Maine / Georges Bank",2010,40650,"Recruitment",40.54577301,-70.58712033,841.6310066
"44","Acadian redfish","Gulf of Maine / Georges Bank",2011,45719,"Recruitment",40.48660363,-70.62489092,834.7560009
"45","Acadian redfish","Gulf of Maine / Georges Bank",2012,49695,"Recruitment",40.79419136,-70.55718802,864.6159013
"46","Acadian redfish","Gulf of Maine / Georges Bank",2013,56379,"Recruitment",40.7457291,-70.33436727,873.4671619
"47","Acadian redfish","Gulf of Maine / Georges Bank",2014,145953,"Recruitment",41.068272,-70.09433965,914.2246527
"48","Acadian redfish","Gulf of Maine / Georges Bank",2015,94951,"Recruitment",40.70259772,-70.34962414,868.7240872
"49","Acadian redfish","Gulf of Maine / Georges Bank",2016,79711,"Recruitment",40.90619759,-70.35421539,885.7850977
